Platform,Instrument,Imagery_Layer,Imagery_Product_Name,Image_Resolution,Sensor_Resolution,Format,Projection
Suomi NPP,VIIRS,Corrected Reflectance (Bands M11-I2-I1)    ,VIIRS_SNPP_CorrectedReflectance_BandsM11-I2-I1,250m,"750m, 375m",jpeg,"Geographic, Polar, Web Mercator"
Suomi NPP,VIIRS,Corrected Reflectance (Bands M3-I3-M11)    ,VIIRS_SNPP_CorrectedReflectance_BandsM3-I3-M11,250m,"750m, 375m",jpeg,"Geographic, Polar, Web Mercator"
NOAA-20,VIIRS,Corrected Reflectance ,VIIRS_NOAA20_CorrectedReflectance_TrueColor,250m,"750m, 375m",jpeg,"Geographic, Polar, Web Mercator"
NOAA-20,VIIRS,Corrected Reflectance (Bands M11-I2-I1)  ,VIIRS_NOAA20_CorrectedReflectance_BandsM11-I2-I1,250m,"750m, 375m",jpeg,"Geographic, Polar, Web Mercator"
NOAA-20,VIIRS,Corrected Reflectance (Bands M3-I3-M11)  ,VIIRS_NOAA20_CorrectedReflectance_BandsM3-I3-M11,250m,"750m, 375m",jpeg,"Geographic, Polar, Web Mercator"
Landsat 8 (HLS),OLI,"Reflectance (Nadir BRDF-Adjusted, v1.5) ",HLS_L30_Nadir_BRDF_Adjusted_Reflectance,30m,30m,jpeg,Geographic
Sentinel 2A and 2B (HLS),MIS,"Reflectance (Nadir BRDF-Adjusted, v1.5) ",HLS_S30_Nadir_BRDF_Adjusted_Reflectance,30m,30m,jpeg,Geographic
Landsat,ETM+,"Surface Reflectance (NBAR, True Color, Global, Annual, V3.1) ",Landsat_WELD_CorrectedReflectance_TrueColor_Global_Annual,31.25m,30m,jpeg,Geographic
Landsat,ETM+,"Surface Reflectance (NBAR, True Color, Global, Monthly, V3.1) ",Landsat_WELD_CorrectedReflectance_TrueColor_Global_Monthly,31.25m,30m,jpeg,Geographic
Landsat,ETM+,"Surface Reflectance (Bands 1-5-7, Global, Annual, V3.1)",Landsat_WELD_CorrectedReflectance_Bands157_Global_Annual ,31.25m,30m,jpeg,Geographic
Landsat,ETM+,"Surface Reflectance (Bands 1-5-7, Global, Monthly, V3.1)",Landsat_WELD_CorrectedReflectance_Bands157_Global_Monthly ,31.25m,30m,jpeg,Geographic
Landsat,ETM+,"Surface Reflectance (Bands 7-4-3, Global, Annual, V3.1)",Landsat_WELD_CorrectedReflectance_Bands743_Global_Annual ,31.25m,30m,jpeg,Geographic
Landsat,ETM+,"Surface Reflectance (Bands 7-4-3, Global, Monthly, V3.1)",Landsat_WELD_CorrectedReflectance_Bands743_Global_Monthly ,31.25m,30m,jpeg,Geographic
Terra,MODIS,Land Surface Reflectance (True Color)   ,MODIS_Terra_SurfaceReflectance_Bands143,500m,500m,jpeg,"Geographic, Web Mercator"
Terra,MODIS,Land Surface Reflectance (Bands 7-2-1)   ,MODIS_Terra_SurfaceReflectance_Bands721,500m,500m,jpeg,"Geographic, Web Mercator"
Terra,MODIS,Land Surface Reflectance (Bands 1-2-1)   ,MODIS_Terra_SurfaceReflectance_Bands121,250m,250m,jpeg,"Geographic, Web Mercator"
Terra,MODIS,"Land Surface Reflectance (L3, Daily, True Color) ",MODIS_Terra_L3_SurfaceReflectance_Bands143_Daily,500m,500m,jpeg,"Geographic, Web Mercator"
Terra,MODIS,"Land Surface Reflectance (L3, Daily, True Color) ",MODIS_Terra_L3_SurfaceReflectance_Bands143_8Day,500m,500m,jpeg,"Geographic, Web Mercator"
Terra,MODIS,"Land Surface Reflectance (L3, 8-Day, Bands 7-2-1) ",MODIS_Terra_L3_SurfaceReflectance_Bands721_8Day,500m,500m,jpeg,"Geographic, Web Mercator"
Terra,MODIS,"Land Surface Reflectance (L3, 8-Day, Bands 1-2-1) ",MODIS_Terra_L3_SurfaceReflectance_Bands121_8Day,250m,250m,jpeg,"Geographic, Web Mercator"
Aqua,MODIS,Land Surface Reflectance (True Color)   ,MODIS_Aqua_SurfaceReflectance_Bands143,500m,500m,jpeg,"Geographic, Web Mercator"
Aqua,MODIS,Land Surface Reflectance (Bands 7-2-1)   ,MODIS_Aqua_SurfaceReflectance_Bands721,500m,500m,jpeg,"Geographic, Web Mercator"
Aqua,MODIS,Land Surface Reflectance (Bands 1-2-1)   ,MODIS_Aqua_SurfaceReflectance_Bands121,250m,250m,jpeg,"Geographic, Web Mercator"
Aqua,MODIS,"Land Surface Reflectance (L3, Daily, True Color) ",MODIS_Aqua_L3_SurfaceReflectance_Bands143_Daily,500m,500m,jpeg,"Geographic, Web Mercator"
Aqua,MODIS,"Land Surface Reflectance (L3, Daily, True Color) ",MODIS_Aqua_L3_SurfaceReflectance_Bands143_8Day,500m,500m,jpeg,"Geographic, Web Mercator"
Aqua,MODIS,"Land Surface Reflectance (L3, 8-Day, Bands 7-2-1) ",MODIS_Aqua_L3_SurfaceReflectance_Bands721_8Day,500m,500m,jpeg,"Geographic, Web Mercator"
Aqua,MODIS,"Land Surface Reflectance (L3, 8-Day, Bands 1-2-1) ",MODIS_Aqua_L3_SurfaceReflectance_Bands121_8Day,250m,250m,jpeg,"Geographic, Web Mercator"
Terra and Aqua,MODIS,"Reflectance (L3, Nadir BRDF-Adjusted, Daily) ",MODIS_Combined_L3_Nadir-BRDF_Daily,500 m,500 m,,"Geographic, Web Mercator"
Terra and Aqua,MODIS,MAIAC Reflectance (BRDF-Adjusted) ,MODIS_Combined_MAIAC_L2G_BidirectionalReflectance_Bands143,1km,1km,,"Geographic, Web Mercator"
Terra,MISR,"Directional Hemispheric Reflectance (DHR) Average (Monthly, Natural Color)",MISR_Directional_Hemispherical_Reflectance_Average_Natural_Color_Monthly,2km,0.5 degrees,png,"Geographic, Web Mercator"
Terra,MISR,"Color Radiance (An, RGB)    ",MISR_AM1_Ellipsoid_Radiance_RGB_AN,250 m,275 m,png,Geographic
Terra,MISR,"Color Radiance (Aa, RGB)    ",MISR_AM1_Ellipsoid_Radiance_RGB_AA,250 m,"275m, 1100m [a]",png,Geographic
Terra,MISR,"Color Radiance (Ba, RGB)    ",MISR_AM1_Ellipsoid_Radiance_RGB_BA,250 m,"275m, 1100m  [a]",png,Geographic
Terra,MISR,"Color Radiance (Ca, RGB)    ",MISR_AM1_Ellipsoid_Radiance_RGB_CA,250 m,"275m, 1100m  [a]",png,Geographic
Terra,MISR,"Color Radiance (Da, RGB)    ",MISR_AM1_Ellipsoid_Radiance_RGB_DA,250 m,"275m, 1100m  [a]",png,Geographic
Terra,MISR,"Color Radiance (Af, RGB)    ",MISR_AM1_Ellipsoid_Radiance_RGB_AF,250 m,"275m, 1100m  [a]",png,Geographic
Terra,MISR,"Color Radiance (Bf, RGB)    ",MISR_AM1_Ellipsoid_Radiance_RGB_BF,250 m,"275m, 1100m  [a]",png,Geographic
Terra,MISR,"Color Radiance (Cf, RGB)    ",MISR_AM1_Ellipsoid_Radiance_RGB_CF,250 m,"275m, 1100m  [a]",png,Geographic
Terra,MISR,"Color Radiance (Df, RGB)    ",MISR_AM1_Ellipsoid_Radiance_RGB_DF,250 m,"275m, 1100m  [a]",png,Geographic
Terra,MISR,"Color Radiance (An, NGB)    ",MISR_AM1_Ellipsoid_Radiance_NGB_AN,250 m,275 m,png,Geographic
Terra,MISR,"Color Radiance (Aa, NGB)    ",MISR_AM1_Ellipsoid_Radiance_NGB_AA,1 km,1100 m,png,Geographic
Terra,MISR,"Color Radiance (Ba, NGB)    ",MISR_AM1_Ellipsoid_Radiance_NGB_BA,1 km,1100 m,png,Geographic
Terra,MISR,"Color Radiance (Ca, NGB)    ",MISR_AM1_Ellipsoid_Radiance_NGB_CA,1 km,1100 m,png,Geographic
Terra,MISR,"Color Radiance (Da, NGB)    ",MISR_AM1_Ellipsoid_Radiance_NGB_DA,1 km,1100 m,png,Geographic
Terra,MISR,"Color Radiance (Af, NGB)    ",MISR_AM1_Ellipsoid_Radiance_NGB_AF,1 km,1100 m,png,Geographic
Terra,MISR,"Color Radiance (Bf, NGB)    ",MISR_AM1_Ellipsoid_Radiance_NGB_BF,1 km,1100 m,png,Geographic
Terra,MISR,"Color Radiance (Cf, NGB)    ",MISR_AM1_Ellipsoid_Radiance_NGB_CF,1 km,1100 m,png,"Geographic,"
Terra,MISR,"Color Radiance (Df, NGB)    ",MISR_AM1_Ellipsoid_Radiance_NGB_DF,1 km,1100 m,png,Geographic
Terra,MISR,"Radiance Average (Monthly, Natural Color) ",MISR_Radiance_Average_Natural_Color_Monthly ,2km,0.5 degrees,png,"Geographic, Web Mercator"
Terra,MISR,"Radiance Average (Monthly, Infrared Color) ",MISR_Radiance_Average_Infrared_Color_Monthly,2km,0.5 degrees,png,"Geographic, Web Mercator"
CALIPSO,WFC,"Radiance (Daily, V3-01) ",CALIPSO_Wide_Field_Camera_Radiance_v3-01,1km,,png,"Geographic, Web Mercator"
CALIPSO,WFC,"Radiance (Daily, V3-02) ",CALIPSO_Wide_Field_Camera_Radiance_v3-02,1km,,png,"Geographic, Web Mercator"
Suomi NPP,VIIRS,Black Marble Nighttime At Sensor Radiance (Day/Night Band) ,VIIRS_SNPP_DayNightBand_At_Sensor_Radiance,500m,750m,png,"Geographic, Web Mercator"
Suomi NPP,VIIRS,"Nighttime Imagery (Day/Night Band, Enhanced Near Constant Contrast)   ",VIIRS_SNPP_DayNightBand_ENCC,500m,750m,png,"Geographic, Web Mercator"
Suomi NPP,VIIRS,Earth at Night 2012 [5]   ,VIIRS_CityLights_2012,500m,750m,jpeg,"Geographic, Web Mercator"
Suomi NPP,VIIRS,"Black Marble (Annual, 2012 & 2016) [6] ",VIIRS_Black_Marble,500 m,750 m,png,Geographic
Suomi NPP,VIIRS,"Black Marble - Nighttime lights only (Annual, 2012 & 2016) [6]  ",VIIRS_Night_Lights,500 m,750 m,png,Geographic
Suomi-NPP,OMPS,Aerosol Index   ,OMPS_Aerosol_Index,2km,50km,png,"Geographic, Web Mercator"
Suomi-NPP,OMPS,Aerosol Index (PyroCumuloNimbus)   ,OMPS_Aerosol_Index_PyroCumuloNimbus,2km,,png,"Geographic, Web Mercator"
Aura,OMI,Aerosol Index   ,OMI_Aerosol_Index,2km,25km,png,"Geographic, Web Mercator"
Aura,OMI,UV Aerosol Index   ,OMI_UV_Aerosol_Index,2km,,png,"Geographic, Web Mercator"
Aura,OMI,"Aerosol Optical Depth (Extinction, Near-UV, 388.0 nm)   ",OMI_Aerosol_Optical_Depth,2km,25km,png,"Geographic, Web Mercator"
Aura,OMI,"Aerosol Optical Depth (Absorbing, Near-UV 388.0 nm)   ",OMI_Absorbing_Aerosol_Optical_Depth,2km,25km,png,"Geographic, Web Mercator"
Aura,OMI,"Aerosol Optical Depth (Absorbing, Multi-wavelength, 388.0 nm)",OMI_Absorbing_Aerosol_Optical_Thickness_MW_388,2km, 0.25 degrees ,png,Geographic
Terra,MODIS,Aerosol Optical Depth   ,MODIS_Terra_Aerosol,2km,10km,png,"Geographic, Web Mercator"
Terra,MODIS,"Aerosol Optical Depth 3 km (3km, Land and Ocean)   ",MODIS_Terra_Aerosol_Optical_Depth_3km,2km,3km,png,"Geographic, Web Mercator"
Terra,MODIS,Merged Dark Target/Deep Blue (DT/DB) Aerosol Optical Depth (Land and Ocean)   ,MODIS_Terra_AOD_Deep_Blue_Combined,2km,10km,png,"Geographic, Web Mercator"
Terra,MODIS,Deep Blue Aerosol Optical Depth (Land)   ,MODIS_Terra_AOD_Deep_Blue_Land,2km,10km,png,"Geographic, Web Mercator"
Terra,MODIS,Deep Blue Aerosol Angstrom Exponent (Land)   ,MODIS_Terra_Angstrom_Exponent_Land,2km,10km,png,"Geographic, Web Mercator"
Terra,MODIS,Dark Target Aerosol Angstrom Exponent (Ocean)   ,MODIS_Terra_Angstrom_Exponent_Ocean,2km,10km,png,"Geographic, Web Mercator"
Aqua,MODIS,Aerosol Optical Depth   ,MODIS_Aqua_Aerosol,2km,10km,png,"Geographic, Web Mercator"
Aqua,MODIS,"Aerosol Optical Depth 3 km (3km, Land and Ocean)    ", MODIS_Aqua_Aerosol_Optical_Depth_3km ,2km,3km,png,"Geographic, Web Mercator"
Aqua,MODIS,Merged Dark Target/Deep Blue (DT/DB) Aerosol Optical Depth (Land and Ocean)    , MODIS_Aqua_AOD_Deep_Blue_Combined ,2km,10km,png,"Geographic, Web Mercator"
Aqua,MODIS,Deep Blue Aerosol Optical Depth (Land)    , MODIS_Aqua_AOD_Deep_Blue_Land ,2km,10km,png,"Geographic, Web Mercator"
Aqua,MODIS,Deep Blue Aerosol Angstrom Exponent (Land)    , MODIS_Aqua_Angstrom_Exponent_Land ,2km,10km,png,"Geographic, Web Mercator"
Aqua,MODIS,Dark Target Aerosol Angstrom Exponent (Ocean)    , MODIS_Aqua_Angstrom_Exponent_Ocean ,2km,10km,png,"Geographic, Web Mercator"
Terra & Aqua,MODIS,MODIS Combined Value-Added Aerosol Optical Depth   ,MODIS_Combined_Value_Added_AOD,2km,10km,png,"Geographic, Web Mercator"
Terra & Aqua,MODIS,MAIAC Aerosol Optical Depth ,MODIS_Combined_MAIAC_L2G_AerosolOpticalDepth,1km,1km,png,"Geographic, Web Mercator"
Terra,MISR,"Aerosol Optical Depth Average (Green, Monthly) ", MISR_Aerosol_Optical_Depth_Avg_Green_Monthly ,2km,0.5 degrees,png,"Geographic, Web Mercator"
,SeaWiFS  Deep Blue,Aerosol Optical Thickness 550nm (Daily)   ,SWDB_Aerosol_Optical_Thickness_550nm_Daily,2km,,png,"Geographic, Web Mercator"
,SeaWiFS  Deep Blue,Aerosol Optical Thickness 550nm (Monthly)    , SWDB_Aerosol_Optical_Thickness_550nm_Monthly ,2km,,png,"Geographic, Web Mercator"
,SeaWiFS  Deep Blue,Aerosol Angstrom Exponent (Daily)   ,SWDB_Aerosol_Angstrom_Exponent_Daily,2km,,png,"Geographic, Web Mercator"
,SeaWiFS  Deep Blue,Aerosol Angstrom Exponent (Monthly)    ,SWDB_Aerosol_Angstrom_Exponent_Monthly ,2km,,png,"Geographic, Web Mercator"
,MERRA-2,Total Aerosol Optical Thickness Scattering 550nm (Monthly) ,MERRA2_Total_Aerosol_Optical_Thickness_550nm_Scattering_Monthly,2km,,png,"Geographic, Web Mercator"
,MERRA-2,Total Aerosol Optical Thickness Extinction 550nm (Monthly) ,MERRA2_Total_Aerosol_Optical_Thickness_550nm_Extinction_Monthly,2km,,png,"Geographic, Web Mercator"
,MERRA-2,Aerosol Optical Depth Analysis ,2km,,png,"Geographic, Web Mercator",
Aura,OMI,Aerosol Single Scattering Albedo ,OMI_Single_Scattering_Albedo,2km, 1 degree ,png,Geographic
,MERRA-2,ISCCP Cloud Albedo (Monthly) ,MERRA2_ISCCP_Cloud_Albedo_Monthly,2km,,png,"Geographic, Web Mercator"
Terra,MISR,"TOA Albedo Average (Red, Monthly) ",MISR_TOA_Albedo_Average_Red_Monthly,2km,0.5 degrees,png,Geographic
NOAA-20,VIIRS,"Brightness Temperature (Band I5, Day) ",VIIRS_NOAA20_Brightness_Temp_BandI5_Day,250m,375m,png,"Geographic, Web Mercator, Polar"
NOAA-20,VIIRS,"Brightness Temperature (Band I5, Day) ",VIIRS_NOAA20_Brightness_Temp_BandI5_Day,250m,375m,png,"Geographic, Web Mercator, Polar"
Suomi NPP,VIIRS,"Brightness Temperature (Band I5, Day)   ",VIIRS_SNPP_Brightness_Temp_BandI5_Day,250m,375m,png,"Geographic, Web Mercator, Polar"
Suomi NPP,VIIRS,"Brightness Temperature (Band I5, Night)   ",VIIRS_SNPP_Brightness_Temp_BandI5_Night,250m,375m,png,"Geographic, Web Mercator, Polar"
Terra,MODIS,"Brightness Temperature (Band 31, Day)  ",MODIS_Terra_Brightness_Temp_Band31_Day,1km,1km,png,"Geographic, Web Mercator, Polar"
Terra,MODIS,"Brightness Temperature (Band 31, Night)  ",MODIS_Terra_Brightness_Temp_Band31_Night,1km,1km,png,"Geographic, Web Mercator, Polar"
Aqua,MODIS,"Brightness Temperature (Band 31, Day)  ",MODIS_Aqua_Brightness_Temp_Band31_Day,1km,1km,png,"Geographic, Web Mercator, Polar"
Aqua,MODIS,"Brightness Temperature (Band 31, Night)  ",MODIS_Aqua_Brightness_Temp_Band31_Night,1km,1km,png,"Geographic, Web Mercator, Polar"
GPM,GMI,Brightness Temperature (Ascending)   ,GMI_Brightness_Temp_Asc,2km,4km,png,"Geographic, Web Mercator"
GPM,GMI,Brightness Temperature (Descending)   ,GMI_Brightness_Temp_Dsc,2km,4km,png,"Geographic, Web Mercator"
,TRMM,Brightness Temperature (Ascending) ,TRMM_Brightness_Temp_Asc,2km,,png,"Geographic, Web Mercator"
,TRMM,Brightness Temperature (Descending) ,GMI_Brightness_Temp_Asc,2km,,png,"Geographic, Web Mercator"
NOAA-15,AMSU-A,Brightness Temperature (Channel 01) ,AMSUA_NOAA15_Brightness_Temp_Channel_1,2km,48km,png,"Geographic, Web Mercator"
NOAA-15,AMSU-A,Brightness Temperature (Channel 02),AMSUA_NOAA15_Brightness_Temp_Channel_2,2km,48km,png,"Geographic, Web Mercator"
NOAA-15,AMSU-A,Brightness Temperature (Channel 03),AMSUA_NOAA15_Brightness_Temp_Channel_3,2km,48km,png,"Geographic, Web Mercator"
NOAA-15,AMSU-A,Brightness Temperature (Channel 04),AMSUA_NOAA15_Brightness_Temp_Channel_4,2km,48km,png,"Geographic, Web Mercator"
NOAA-15,AMSU-A,Brightness Temperature (Channel 05),AMSUA_NOAA15_Brightness_Temp_Channel_5,2km,48km,png,"Geographic, Web Mercator"
NOAA-15,AMSU-A,Brightness Temperature (Channel 06),AMSUA_NOAA15_Brightness_Temp_Channel_6,2km,48km,png,"Geographic, Web Mercator"
NOAA-15,AMSU-A,Brightness Temperature (Channel 07),AMSUA_NOAA15_Brightness_Temp_Channel_7,2km,48km,png,"Geographic, Web Mercator"
NOAA-15,AMSU-A,Brightness Temperature (Channel 08),AMSUA_NOAA15_Brightness_Temp_Channel_8,2km,48km,png,"Geographic, Web Mercator"
NOAA-15,AMSU-A,Brightness Temperature (Channel 09),AMSUA_NOAA15_Brightness_Temp_Channel_9,2km,48km,png,"Geographic, Web Mercator"
NOAA-15,AMSU-A,Brightness Temperature (Channel 10),AMSUA_NOAA15_Brightness_Temp_Channel_10,2km,48km,png,"Geographic, Web Mercator"
NOAA-15,AMSU-A,Brightness Temperature (Channel 11),AMSUA_NOAA15_Brightness_Temp_Channel_11,2km,48km,png,"Geographic, Web Mercator"
NOAA-15,AMSU-A,Brightness Temperature (Channel 12),AMSUA_NOAA15_Brightness_Temp_Channel_12,2km,48km,png,"Geographic, Web Mercator"
NOAA-15,AMSU-A,Brightness Temperature (Channel 13),AMSUA_NOAA15_Brightness_Temp_Channel_13,2km,48km,png,"Geographic, Web Mercator"
NOAA-15,AMSU-A,Brightness Temperature (Channel 14),AMSUA_NOAA15_Brightness_Temp_Channel_14,2km,48km,png,"Geographic, Web Mercator"
NOAA-15,AMSU-A,Brightness Temperature (Channel 15),AMSUA_NOAA15_Brightness_Temp_Channel_15,2km,48km,png,"Geographic, Web Mercator"
NOAA-16,AMSU-A,Brightness Temperature (Channel 01) ,AMSUA_NOAA16_Brightness_Temp_Channel_1,2km,48km,png,"Geographic, Web Mercator"
NOAA-16,AMSU-A,Brightness Temperature (Channel 02),AMSUA_NOAA16_Brightness_Temp_Channel_2,2km,48km,png,"Geographic, Web Mercator"
NOAA-16,AMSU-A,Brightness Temperature (Channel 03),AMSUA_NOAA16_Brightness_Temp_Channel_3,2km,48km,png,"Geographic, Web Mercator"
NOAA-16,AMSU-A,Brightness Temperature (Channel 04),AMSUA_NOAA16_Brightness_Temp_Channel_4,2km,48km,png,"Geographic, Web Mercator"
NOAA-16,AMSU-A,Brightness Temperature (Channel 05),AMSUA_NOAA16_Brightness_Temp_Channel_5,2km,48km,png,"Geographic, Web Mercator"
NOAA-16,AMSU-A,Brightness Temperature (Channel 06),AMSUA_NOAA16_Brightness_Temp_Channel_6,2km,48km,png,"Geographic, Web Mercator"
NOAA-16,AMSU-A,Brightness Temperature (Channel 07),AMSUA_NOAA16_Brightness_Temp_Channel_7,2km,48km,png,"Geographic, Web Mercator"
NOAA-16,AMSU-A,Brightness Temperature (Channel 08),AMSUA_NOAA16_Brightness_Temp_Channel_8,2km,48km,png,"Geographic, Web Mercator"
NOAA-16,AMSU-A,Brightness Temperature (Channel 09),AMSUA_NOAA16_Brightness_Temp_Channel_9,2km,48km,png,"Geographic, Web Mercator"
NOAA-16,AMSU-A,Brightness Temperature (Channel 10),AMSUA_NOAA16_Brightness_Temp_Channel_10,2km,48km,png,"Geographic, Web Mercator"
NOAA-16,AMSU-A,Brightness Temperature (Channel 11),AMSUA_NOAA16_Brightness_Temp_Channel_11,2km,48km,png,"Geographic, Web Mercator"
NOAA-16,AMSU-A,Brightness Temperature (Channel 12),AMSUA_NOAA16_Brightness_Temp_Channel_12,2km,48km,png,"Geographic, Web Mercator"
NOAA-16,AMSU-A,Brightness Temperature (Channel 13),AMSUA_NOAA16_Brightness_Temp_Channel_13,2km,48km,png,"Geographic, Web Mercator"
NOAA-16,AMSU-A,Brightness Temperature (Channel 14),AMSUA_NOAA16_Brightness_Temp_Channel_14,2km,48km,png,"Geographic, Web Mercator"
NOAA-16,AMSU-A,Brightness Temperature (Channel 15),AMSUA_NOAA16_Brightness_Temp_Channel_15,2km,48km,png,"Geographic, Web Mercator"
NOAA-17,AMSU-A,Brightness Temperature (Channel 01) ,AMSUA_NOAA17_Brightness_Temp_Channel_1,2km,48km,png,"Geographic, Web Mercator"
NOAA-17,AMSU-A,Brightness Temperature (Channel 02),AMSUA_NOAA17_Brightness_Temp_Channel_2,2km,48km,png,"Geographic, Web Mercator"
NOAA-17,AMSU-A,Brightness Temperature (Channel 03),AMSUA_NOAA17_Brightness_Temp_Channel_3,2km,48km,png,"Geographic, Web Mercator"
NOAA-17,AMSU-A,Brightness Temperature (Channel 04),AMSUA_NOAA17_Brightness_Temp_Channel_4,2km,48km,png,"Geographic, Web Mercator"
NOAA-17,AMSU-A,Brightness Temperature (Channel 05),AMSUA_NOAA17_Brightness_Temp_Channel_5,2km,48km,png,"Geographic, Web Mercator"
NOAA-17,AMSU-A,Brightness Temperature (Channel 06),AMSUA_NOAA17_Brightness_Temp_Channel_6,2km,48km,png,"Geographic, Web Mercator"
NOAA-17,AMSU-A,Brightness Temperature (Channel 07),AMSUA_NOAA17_Brightness_Temp_Channel_7,2km,48km,png,"Geographic, Web Mercator"
NOAA-17,AMSU-A,Brightness Temperature (Channel 08),AMSUA_NOAA17_Brightness_Temp_Channel_8,2km,48km,png,"Geographic, Web Mercator"
NOAA-17,AMSU-A,Brightness Temperature (Channel 09),AMSUA_NOAA17_Brightness_Temp_Channel_9,2km,48km,png,"Geographic, Web Mercator"
NOAA-17,AMSU-A,Brightness Temperature (Channel 10),AMSUA_NOAA17_Brightness_Temp_Channel_10,2km,48km,png,"Geographic, Web Mercator"
NOAA-17,AMSU-A,Brightness Temperature (Channel 11),AMSUA_NOAA17_Brightness_Temp_Channel_11,2km,48km,png,"Geographic, Web Mercator"
NOAA-17,AMSU-A,Brightness Temperature (Channel 12),AMSUA_NOAA17_Brightness_Temp_Channel_12,2km,48km,png,"Geographic, Web Mercator"
NOAA-17,AMSU-A,Brightness Temperature (Channel 13),AMSUA_NOAA17_Brightness_Temp_Channel_13,2km,48km,png,"Geographic, Web Mercator"
NOAA-17,AMSU-A,Brightness Temperature (Channel 14),AMSUA_NOAA17_Brightness_Temp_Channel_14,2km,48km,png,"Geographic, Web Mercator"
NOAA-17,AMSU-A,Brightness Temperature (Channel 15),AMSUA_NOAA1_Brightness_Temp_Channel_15,2km,48km,png,"Geographic, Web Mercator"
Aqua,AMSR-E,Brightness Temperature 89Ghz Horizontal (Day)   ,AMSRE_Brightness_Temp_89H_Day,2km,5-56km,png,"Geographic, Web Mercator"
Aqua,AMSR-E,Brightness Temperature 89Ghz Vertical (Day)   ,AMSRE_Brightness_Temp_89V_Day,2km,5-56km,png,"Geographic, Web Mercator"
Aqua,AMSR-E,Brightness Temperature 89Ghz Horizontal (Night)   ,AMSRE_Brightness_Temp_89H_Night,2km,5-56km,png,"Geographic, Web Mercator"
Aqua,AMSR-E,Brightness Temperature 89Ghz Vertical (Night)   ,AMSRE_Brightness_Temp_89V_Night,2km,5-56km,png,"Geographic, Web Mercator"
Aqua,AIRS+AMSU,"Carbon Dioxide (L3, Free Troposphere, Monthly) ",AIRS_L3_Carbon_Dioxide_AIRS_AMSU_Monthly,2km,,png,"Geographic, Web Mercator"
Aqua,AIRS,"Carbon Dioxide (L3, Free Troposphere, Monthly) ",AIRS_L3_Carbon_Dioxide_IR_Monthly,2km,,png,"Geographic, Web Mercator"
,OCO-2,Carbon Dioxide (Total Column Average) ,OCO-2_Carbon_Dioxide_Total_Column_Average,500m,2.25 km x 1.29 km,png,"Geographic, Web Mercator"
,OCO-2,Carbon Dioxide (Difference from Global Mean) ,OCO-2_Carbon_Dioxide_Global_Mean_Difference,500km,2.25 km x 1.29 km,png,"Geographic, Web Mercator"
Aura,MLS,MLS_CO_215hPa_Day,2km,5km,png,"Geographic, Web Mercator",
